r2024-10-27 19:41:19,635 - WeChatRobotLogger - INFO - 成功连接.Model：qwen2.5:14b
2024-10-27 19:41:19,635 - WeChatRobotLogger - INFO - 初始化计费器。当前消费：0
2024-10-27 19:41:23,328 - WeChatRobotLogger - INFO - 成功初始化对话，写入对话前提
2024-10-27 19:41:23,328 - WeChatRobotLogger - INFO - 已写入历史记录：D:\python_learn\WorkSoftWares\WeChatTools\WeChatRobot\History
2024-10-27 19:41:24,105 - WeChatRobotLogger - INFO - 微信接入成功
2024-10-27 19:41:24,611 - WeChatRobotLogger - INFO - 启用监听对象：占思翰
2024-10-27 19:41:24,871 - WeChatRobotLogger - INFO - 启用监听对象：文件传输助手
2024-10-27 19:41:34,244 - WeChatRobotLogger - INFO - 机器人启动词输出：AI喵酱机器人启动！注意以下所有的【喵酱】发言都源自AI大模型，不代表本人观点，请谨慎识别喵！
2024-10-27 19:41:34,245 - WeChatRobotLogger - INFO - 接收到主人新消息Self：#喵酱能帮我分析一下当下民族共同体面对的挑战吗
2024-10-27 19:41:36,305 - WeChatRobotLogger - ERROR - [WinError 10061] 由于目标计算机积极拒绝，无法连接。
2024-10-27 19:41:37,908 - WeChatRobotLogger - INFO - 喵酱回复主人：【喵酱】发生了一个未知错误: An unknown error occurred.,喵酱也不知道该怎么办了
